num_layers,conv_type,out_channels,learning_rate,num_val,final_val_auc,final_val_loss,epochs_trained
2,SAGE,32,0.0001,0.2,0.9202701300568129,0.3674572706222534,975
2,SAGE,16,0.0001,0.2,0.916405904621782,0.3719407021999359,1401
2,SAGE,16,0.0001,0.3,0.8936607107036061,0.4206731915473938,1067
2,SAGE,32,0.0001,0.3,0.8929659729101311,0.44191810488700867,842
1,GAT,16,0.0001,0.2,0.8792705933612603,0.5337733626365662,1513
1,GAT,32,0.0001,0.2,0.8742543475465747,0.539437472820282,1050
1,GAT,32,0.0001,0.3,0.8702721563740191,0.5469962358474731,1011
1,GAT,16,0.0001,0.3,0.862017019612531,0.5393869280815125,1136
2,SAGE,16,0.0001,0.4,0.8593265789878095,0.49260252714157104,701
1,GAT,16,0.0001,0.4,0.8522604376490699,0.5586176514625549,1058
2,GAT,32,0.0001,0.2,0.8485689749969119,0.4873800575733185,618
1,GAT,32,0.0001,0.4,0.8472438029403824,0.5633342266082764,828
1,SAGE,32,0.0001,0.2,0.8463118896646117,0.5527318716049194,2303
1,SAGE,16,0.0001,0.2,0.8392274430588913,0.5550750494003296,2162
2,GAT,32,0.0001,0.4,0.8382017417116461,0.5065886378288269,504
2,SAGE,32,0.0001,0.4,0.8360347442585006,0.5328843593597412,361
2,GAT,16,0.0001,0.4,0.8359889259710673,0.5095198750495911,682
1,SAGE,16,0.0001,0.3,0.8266218017619541,0.5689432621002197,2165
1,SAGE,32,0.0001,0.3,0.8241713243510996,0.5814965963363647,2222
2,GAT,32,0.0001,0.3,0.8186070637433764,0.5480358600616455,629
2,GAT,16,0.0001,0.2,0.8088941827067732,0.5626461505889893,885
1,SAGE,16,0.0001,0.4,0.7984632285717954,0.6064310669898987,1693
1,GCN,16,0.0001,0.4,0.7834945135064513,0.6470162868499756,1796
1,GCN,32,0.0001,0.4,0.7811933696083317,0.7222905158996582,2084
2,GAT,16,0.0001,0.3,0.7783654065898105,0.5760910511016846,482
1,SAGE,32,0.0001,0.4,0.7730581258133297,0.6204526424407959,1710
1,GCN,32,0.0001,0.3,0.7664777696945567,0.646706223487854,2234
1,GCN,32,0.0001,0.2,0.7639647883532954,0.6041383147239685,2397
2,GCN,16,0.0001,0.2,0.7556118094107105,712.7484741210938,158
1,GCN,16,0.0001,0.3,0.7382166204010071,0.6235703229904175,2226
1,GCN,16,0.0001,0.2,0.7011629630198896,0.6128883957862854,2043
2,GCN,32,0.0001,0.4,0.6802442085201024,1138.572021484375,21
2,GCN,16,0.0001,0.4,0.6742772292316896,528.421142578125,98
2,GCN,32,0.0001,0.2,0.6605225731152501,1606.2022705078125,23
2,GCN,16,0.0001,0.3,0.5976623354792172,785.1759643554688,82
2,GCN,32,0.0001,0.3,0.5597620035893528,1729.7176513671875,51
