num_layers,conv_type,out_channels,learning_rate,num_val,final_val_auc,final_val_loss,epochs_trained
2,SAGE,32,0.0001,0.2,0.9161552207726905,0.7663972973823547,1130
2,SAGE,16,0.0001,0.2,0.9125754477828283,0.7572289109230042,1552
2,SAGE,16,0.0001,0.3,0.8933941595546382,0.8422296047210693,1168
2,SAGE,32,0.0001,0.3,0.8911104635993763,0.8714973330497742,808
2,GAT,32,0.0001,0.2,0.8848118808293376,0.8930386602878571,1417
1,GAT,16,0.0001,0.2,0.8822243839971383,1.0236268043518066,1584
1,GAT,32,0.0001,0.3,0.8818021663323654,1.05088210105896,1295
1,GAT,32,0.0001,0.2,0.8795263083563936,1.0252759754657745,1364
1,GAT,16,0.0001,0.3,0.8792611244431656,1.0488821268081665,1406
1,GAT,32,0.0001,0.4,0.876392647761699,1.0782519578933716,1088
1,GAT,16,0.0001,0.4,0.8727375588964307,1.0814493298530579,1284
2,GCN,16,0.0001,0.4,0.8676055747434719,1.413661539554596,4964
2,GAT,32,0.0001,0.4,0.8644403843971866,0.9476420879364014,996
2,GAT,16,0.0001,0.3,0.864079989166566,0.9419705867767334,1010
1,SAGE,32,0.0001,0.2,0.861472705923833,1.0636059641838074,2883
2,SAGE,16,0.0001,0.4,0.8554971159335532,0.9856841266155243,701
1,SAGE,16,0.0001,0.2,0.8539273578447782,1.0653427243232727,2683
2,SAGE,32,0.0001,0.4,0.8533900794019278,1.0287398397922516,525
2,GAT,16,0.0001,0.4,0.8524111891860494,0.9908029735088348,912
1,SAGE,32,0.0001,0.3,0.8515063589359901,1.1051167249679565,2753
1,GCN,32,0.0001,0.4,0.8442076830719188,1.2130188941955566,1681
2,GAT,32,0.0001,0.3,0.843909159465917,0.996900349855423,661
1,SAGE,16,0.0001,0.3,0.8435261632527342,1.0971373319625854,2353
1,GCN,16,0.0001,0.4,0.841998596307566,1.168114185333252,1686
2,GAT,16,0.0001,0.2,0.8402532453878107,1.0309078693389893,1038
1,GCN,32,0.0001,0.3,0.8351024721620969,1.1468595266342163,2467
1,GCN,16,0.0001,0.3,0.8350537314408772,1.1095108389854431,2482
1,GCN,16,0.0001,0.2,0.8212520814229982,1.1197553277015686,2273
1,SAGE,16,0.0001,0.4,0.8196881232980785,1.184282898902893,2060
1,SAGE,32,0.0001,0.4,0.8178456077812317,1.2268930077552795,2156
1,GCN,32,0.0001,0.2,0.7793785600894593,1.189883828163147,2640
2,GCN,32,0.0001,0.4,0.7304794961354412,72.28924179077148,59
2,GCN,16,0.0001,0.3,0.71458080128409,332.74220275878906,36
2,GCN,32,0.0001,0.3,0.6839476352418647,627.3597869873047,125
2,GCN,16,0.0001,0.2,0.6045982060957494,1284.8304748535156,139
2,GCN,32,0.0001,0.2,0.6011098475906509,2560.8214111328125,37
