num_layers,conv_type,out_channels,learning_rate,final_val_auc,final_val_loss,epochs_trained
2,SAGE,16,0.001,0.9373910107672999,0.3528566062450409,277
2,SAGE,32,0.001,0.9373138418076479,0.34735071659088135,223
2,SAGE,16,0.0001,0.9192726292773563,0.36530759930610657,1416
2,SAGE,32,0.0001,0.9135966092967458,0.38322144746780396,845
2,GAT,16,0.001,0.8766083596357306,0.46587806940078735,152
2,GAT,32,0.0001,0.8687744702589376,0.4696947932243347,900
1,GAT,16,0.001,0.8632067139229573,0.5341906547546387,188
1,GAT,32,0.0001,0.8620015155456803,0.5338685512542725,1056
1,GAT,32,0.001,0.8581970903768519,0.5344851016998291,170
1,GAT,16,0.0001,0.8578675848237661,0.5333001613616943,1364
2,GAT,16,0.0001,0.8576861673672374,0.5009593367576599,1102
1,SAGE,32,0.0001,0.8462306328848487,0.5545473098754883,2425
1,SAGE,16,0.0001,0.8371141309019197,0.5547074675559998,2581
1,SAGE,32,0.001,0.8304533732246437,0.5563552379608154,311
1,SAGE,16,0.001,0.83000377660074,0.5493625998497009,285
2,GAT,32,0.001,0.8045774265014033,0.5347216725349426,93
1,GCN,32,0.001,0.7847726920390212,0.5816934108734131,672
1,GCN,16,0.0001,0.7165712742049595,0.6173217296600342,1995
2,GCN,16,0.0001,0.6698087559689668,1319.3427734375,86
1,GCN,32,0.0001,0.6571570163135453,0.648862361907959,2108
2,GCN,16,0.001,0.6471815724848355,1165.7198486328125,27
2,GCN,32,0.0001,0.5878984246104503,2119.81103515625,22
2,GCN,32,0.001,0.5800326048165676,2171.08203125,23
1,GCN,16,0.001,0.5387206496559935,0.6732158064842224,271
